date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,aircraft_type,passengers_affected,reason
2026-03-17,WestJet,WE8894,London,Seoul,UK,South Korea,Europe,Asia Pacific,Airbus A320neo,287,Crew duty-time exceedance after long reroutes
2026-03-17,Saudi Arabian Airlines,SA3828,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Boeing 737 MAX 8,292,ATC flow restrictions — congestion
2026-03-17,Air China,AI6890,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Boeing 787-10 Dreamliner,264,Crew duty-time exceedance after long reroutes
2026-03-17,Pakistan International Airlines,PA3184,Dubai,Zurich,UAE,Switzerland,Middle East,Europe,Boeing 737 MAX 8,332,Airspace closure — NOTAM
2026-03-17,Iberia,IB883,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Airbus A340-600,396,Security risk — conflict zone
2026-03-17,Azul Brazilian Airlines,AZ7100,Singapore,London,Singapore,UK,Asia Pacific,Europe,Airbus A321neo,157,ATC flow restrictions — congestion
2026-03-17,Wizz Air,WI1397,Doha,Lisbon,Qatar,Portugal,Middle East,Europe,Airbus A330-300,170,Crew safety — company policy
2026-03-17,Gulf Air,GU7708,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Airbus A320neo,436,Security risk — conflict zone
2026-03-17,SAS,SA1328,Dubai,London,UAE,UK,Middle East,Europe,Airbus A321neo,215,ATC flow restrictions — congestion
2026-03-17,Lufthansa,LU6461,Dubai,Cairo,UAE,Egypt,Middle East,North Africa,Boeing 737 MAX 8,162,ATC flow restrictions — congestion
2026-03-17,Qatar Airways,QA1179,London,Riyadh,UK,Saudi Arabia,Europe,Middle East,Airbus A380-800,396,ATC flow restrictions — congestion
2026-03-17,British Airways,BR1145,Dubai,Casablanca,UAE,Morocco,Middle East,Africa,Airbus A340-600,171,Fuel supply disruption
2026-03-17,LATAM Airlines,LA2639,Bogotá,Madrid,Colombia,Spain,Latin America,Europe,Airbus A320neo,154,Temporary corridor suspension — safety bulletin
2026-03-17,UPS Airlines,UP8448,Dubai,Stockholm,UAE,Sweden,Middle East,Europe,Boeing 787-9 Dreamliner,406,Airport closure — military activity
2026-03-17,Atlas Air,AT6289,Dubai,Paris,UAE,France,Middle East,Europe,Airbus A350-900,437,Security risk — conflict zone
2026-03-17,UPS Airlines,UP692,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Airbus A330-300,114,Airport closure — military activity
2026-03-17,South African Airways,SO2854,Bogotá,Madrid,Colombia,Spain,Latin America,Europe,Airbus A320neo,132,Government travel ban
2026-03-17,Copa Airlines,CO2130,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Airbus A340-600,220,Crew safety — company policy
2026-03-18,Lufthansa,LU9672,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Airbus A350-900,212,Airport closure — military activity
2026-03-18,Saudi Arabian Airlines,SA7556,Singapore,Dubai,Singapore,UAE,Asia Pacific,Middle East,Boeing 737-800,437,Security risk — conflict zone
2026-03-18,Avianca,AV297,Los Angeles,Singapore,USA,Singapore,North America,Asia Pacific,Airbus A320neo,243,Airport closure — military activity
2026-03-18,Swiss International Air Lines,SW4383,London,Santiago,UK,Chile,Europe,Latin America,Boeing 777-200LR,248,Crew safety — company policy
2026-03-18,Air France,AI9215,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Airbus A330-300,204,Airspace closure — NOTAM
2026-03-18,KLM,KL282,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Boeing 777-200LR,360,Fuel supply disruption
2026-03-18,Azul Brazilian Airlines,AZ9052,São Paulo,Doha,Brazil,Qatar,Latin America,Middle East,Boeing 737 MAX 8,187,Diplomatic advisory — do not fly
2026-03-18,South African Airways,SO9769,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Boeing 777-300ER,115,Temporary corridor suspension — safety bulletin
2026-03-18,UPS Airlines,UP9659,Tehran,Moscow,Iran,Russia,Middle East,Europe,Boeing 737 MAX 8,269,Government travel ban
2026-03-18,Malaysia Airlines,MA6428,Shanghai,Doha,China,Qatar,Asia Pacific,Middle East,Airbus A340-600,250,Fuel supply disruption
2026-03-18,SpiceJet,SP2707,London,São Paulo,UK,Brazil,Europe,Latin America,Airbus A321neo,337,ATC flow restrictions — congestion
2026-03-18,SpiceJet,SP1640,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Boeing 777-200LR,222,Insurance restriction — war zone
2026-03-18,Azul Brazilian Airlines,AZ1270,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Boeing 787-9 Dreamliner,247,Fuel supply disruption
2026-03-18,Turkish Airlines,TU5853,Doha,São Paulo,Qatar,Brazil,Middle East,Latin America,Boeing 787-9 Dreamliner,279,Insurance restriction — war zone
2026-03-18,Atlas Air,AT6075,Abu Dhabi,Washington,UAE,USA,Middle East,North America,Boeing 737 MAX 8,104,Airport closure — military activity
2026-03-18,Iran Air,IR483,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Airbus A320neo,119,Government travel ban
2026-03-18,Asiana Airlines,AS5575,Toronto,London,Canada,UK,North America,Europe,Boeing 737 MAX 8,313,Airport closure — military activity
2026-03-18,Ryanair,RY7313,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Boeing 737 MAX 8,190,ATC flow restrictions — congestion
2026-03-18,United Airlines,UN4827,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Airbus A380-800,217,Fuel supply disruption
2026-03-18,Air Arabia,AI2781,Madrid,Dubai,Spain,UAE,Europe,Middle East,Boeing 787-9 Dreamliner,396,Crew safety — company policy
2026-03-18,Finnair,FI7366,Dubai,London,UAE,UK,Middle East,Europe,Airbus A321neo,226,Government travel ban
2026-03-18,Turkish Airlines,TU5017,Singapore,Los Angeles,Singapore,USA,Asia Pacific,North America,Boeing 777-200LR,157,Insurance restriction — war zone
2026-03-18,Air New Zealand,AI1511,Mumbai,Dubai,India,UAE,South Asia,Middle East,Airbus A380-800,376,Crew duty-time exceedance after long reroutes
2026-03-19,SAS,SA9655,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Boeing 787-9 Dreamliner,135,ATC flow restrictions — congestion
2026-03-19,American Airlines,AM4371,Frankfurt,Beijing,Germany,China,Europe,Asia Pacific,Airbus A330-300,169,Diplomatic advisory — do not fly
2026-03-19,TAP Air Portugal,TA2048,Moscow,Doha,Russia,Qatar,Europe,Middle East,Airbus A321neo,267,Diplomatic advisory — do not fly
2026-03-19,Air China,AI5331,London,Bahrain,UK,Bahrain,Europe,Middle East,Airbus A330-300,398,Airspace closure — NOTAM
2026-03-19,Malaysia Airlines,MA5396,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Airbus A320neo,86,Insurance restriction — war zone
2026-03-19,Lufthansa,LU4882,London,Kuala Lumpur,UK,Malaysia,Europe,Asia Pacific,Airbus A380-800,223,Airport closure — military activity
2026-03-19,Air Algerie,AI7243,London,Tokyo,UK,Japan,Europe,Asia Pacific,Boeing 737 MAX 8,293,Insurance restriction — war zone
2026-03-19,Air Arabia,AI2067,London,Mexico City,UK,Mexico,Europe,Latin America,Boeing 737-800,93,Airspace closure — NOTAM
2026-03-19,Vietnam Airlines,VI787,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Airbus A350-900,408,Airport closure — military activity
2026-03-19,Emirates,EM4408,Doha,Ho Chi Minh City,Qatar,Vietnam,Middle East,Asia Pacific,Airbus A330-300,359,Airport closure — military activity
2026-03-19,EgyptAir,EG482,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Airbus A321neo,300,ATC flow restrictions — congestion
2026-03-19,IndiGo,IN1008,Beijing,London,China,UK,Asia Pacific,Europe,Airbus A340-600,318,Airport closure — military activity
2026-03-19,Gulf Air,GU7673,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Airbus A340-600,447,ATC flow restrictions — congestion
2026-03-19,ANA,AN1332,Paris,Casablanca,France,Morocco,Europe,Africa,Boeing 777-300ER,176,Airport closure — military activity
2026-03-19,Pakistan International Airlines,PA9723,Dubai,Mumbai,UAE,India,Middle East,South Asia,Airbus A340-600,386,Crew duty-time exceedance after long reroutes
2026-03-19,Cargolux,CA7399,New York,Doha,USA,Qatar,North America,Middle East,Airbus A350-900,193,Airspace closure — NOTAM
2026-03-19,Air Algerie,AI2027,Stockholm,Dubai,Sweden,UAE,Europe,Middle East,Airbus A330-300,320,Crew duty-time exceedance after long reroutes
2026-03-19,Ryanair,RY4522,Dubai,Nairobi,UAE,Kenya,Middle East,Africa,Boeing 787-9 Dreamliner,178,Airport closure — military activity
2026-03-19,UPS Airlines,UP2840,Dubai,Madrid,UAE,Spain,Middle East,Europe,Boeing 777-200LR,280,Fuel supply disruption
2026-03-19,Emirates,EM5562,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Airbus A320neo,237,Crew safety — company policy
2026-03-19,Delta Air Lines,DE1593,Warsaw,Dubai,Poland,UAE,Europe,Middle East,Boeing 777-300ER,431,Fuel supply disruption
2026-03-19,Air Arabia,AI8451,Dubai,Moscow,UAE,Russia,Middle East,Europe,Airbus A330-300,434,Insurance restriction — war zone
2026-03-19,LATAM Airlines,LA5929,Toronto,Doha,Canada,Qatar,North America,Middle East,Boeing 787-9 Dreamliner,287,Crew duty-time exceedance after long reroutes
2026-03-20,Saudi Arabian Airlines,SA4776,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Airbus A321neo,255,Fuel supply disruption
2026-03-20,Air India,AI2446,Paris,Doha,France,Qatar,Europe,Middle East,Airbus A320neo,171,Diplomatic advisory — do not fly
2026-03-20,EgyptAir,EG5759,Tehran,Moscow,Iran,Russia,Middle East,Europe,Airbus A330-300,293,Crew safety — company policy
2026-03-20,LOT Polish Airlines,LO7819,Dubai,Paris,UAE,France,Middle East,Europe,Boeing 777-300ER,208,ATC flow restrictions — congestion
2026-03-20,Swiss International Air Lines,SW7106,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Boeing 777-200LR,358,Crew safety — company policy
2026-03-20,Japan Airlines,JA6527,New York,Riyadh,USA,Saudi Arabia,North America,Middle East,Airbus A321neo,119,Government travel ban
2026-03-20,Wizz Air,WI335,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Airbus A320neo,121,Airport closure — military activity
2026-03-20,Cathay Pacific,CA4048,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Airbus A380-800,407,Government travel ban
2026-03-20,United Airlines,UN4102,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A350-900,106,Airport closure — military activity
2026-03-20,United Airlines,UN6361,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Airbus A340-600,192,Security risk — conflict zone
2026-03-20,Pakistan International Airlines,PA6927,Doha,Paris,Qatar,France,Middle East,Europe,Boeing 787-9 Dreamliner,143,Airspace closure — NOTAM
2026-03-20,Iberia,IB3871,London,Seoul,UK,South Korea,Europe,Asia Pacific,Airbus A350-900,106,Security risk — conflict zone
2026-03-20,flydubai,FL1745,London,Seoul,UK,South Korea,Europe,Asia Pacific,Boeing 737-800,297,Temporary corridor suspension — safety bulletin
2026-03-20,Delta Air Lines,DE3128,Mumbai,Kuwait City,India,Kuwait,South Asia,Middle East,Boeing 787-10 Dreamliner,131,Security risk — conflict zone
2026-03-20,Emirates,EM3627,Nairobi,Dubai,Kenya,UAE,Africa,Middle East,Airbus A350-900,235,Crew safety — company policy
2026-03-20,Wizz Air,WI9157,Doha,Chicago,Qatar,USA,Middle East,North America,Boeing 787-10 Dreamliner,255,Crew duty-time exceedance after long reroutes
2026-03-20,LOT Polish Airlines,LO5760,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Boeing 777-200LR,111,Fuel supply disruption
2026-03-20,Iberia,IB5271,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Airbus A330-300,218,Airspace closure — NOTAM
2026-03-20,Cargolux,CA1264,Toronto,London,Canada,UK,North America,Europe,Airbus A320neo,402,Diplomatic advisory — do not fly
2026-03-20,flydubai,FL3456,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Airbus A320neo,432,Crew duty-time exceedance after long reroutes
2026-03-20,SpiceJet,SP3024,Singapore,Los Angeles,Singapore,USA,Asia Pacific,North America,Airbus A350-900,224,Crew safety — company policy
2026-03-20,Swiss International Air Lines,SW2726,Dubai,Toronto,UAE,Canada,Middle East,North America,Airbus A340-600,127,Airport closure — military activity
2026-03-20,China Southern,CH5324,Dubai,Cairo,UAE,Egypt,Middle East,North Africa,Boeing 777-300ER,248,Government travel ban
2026-03-20,LOT Polish Airlines,LO5736,Moscow,Tehran,Russia,Iran,Europe,Middle East,Boeing 737-800,275,Crew safety — company policy
2026-03-20,flydubai,FL6459,Toronto,Doha,Canada,Qatar,North America,Middle East,Boeing 777-300ER,150,Fuel supply disruption
2026-03-21,Delta Air Lines,DE7000,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Boeing 787-10 Dreamliner,369,Crew duty-time exceedance after long reroutes
2026-03-21,Thai Airways,TH5138,London,Tokyo,UK,Japan,Europe,Asia Pacific,Airbus A320neo,448,Airport closure — military activity
2026-03-21,SAS,SA3969,Doha,Paris,Qatar,France,Middle East,Europe,Boeing 787-9 Dreamliner,136,Airport closure — military activity
2026-03-21,Cargolux,CA3342,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Boeing 737-800,386,Crew duty-time exceedance after long reroutes
2026-03-21,easyJet,EA6511,London,Toronto,UK,Canada,Europe,North America,Airbus A321neo,265,ATC flow restrictions — congestion
2026-03-21,ANA,AN9180,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Boeing 737-800,396,Temporary corridor suspension — safety bulletin
2026-03-21,Aeroflot,AE8052,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Airbus A330-300,336,Diplomatic advisory — do not fly
2026-03-21,Emirates SkyCargo,EM1234,Islamabad,Dubai,Pakistan,UAE,South Asia,Middle East,Airbus A330-300,256,Government travel ban
2026-03-21,Qantas,QA5656,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Boeing 777-300ER,252,Insurance restriction — war zone
2026-03-21,Swiss International Air Lines,SW6211,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Boeing 777-200LR,174,Diplomatic advisory — do not fly
2026-03-21,LOT Polish Airlines,LO2915,Seoul,Dubai,South Korea,UAE,Asia Pacific,Middle East,Boeing 737 MAX 8,346,Airport closure — military activity
2026-03-21,United Airlines,UN7791,Riyadh,Islamabad,Saudi Arabia,Pakistan,Middle East,South Asia,Boeing 777-200LR,195,Fuel supply disruption
2026-03-21,China Southern,CH6688,Riyadh,New York,Saudi Arabia,USA,Middle East,North America,Airbus A321neo,89,Diplomatic advisory — do not fly
2026-03-21,Vietnam Airlines,VI4441,Doha,Moscow,Qatar,Russia,Middle East,Europe,Airbus A320neo,261,Government travel ban
2026-03-21,Atlas Air,AT9573,London,Mexico City,UK,Mexico,Europe,Latin America,Boeing 737 MAX 8,330,Crew duty-time exceedance after long reroutes
2026-03-21,Wizz Air,WI4899,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Boeing 787-10 Dreamliner,203,ATC flow restrictions — congestion
2026-03-21,Jazeera Airways,JA4581,London,Bahrain,UK,Bahrain,Europe,Middle East,Boeing 787-10 Dreamliner,140,Fuel supply disruption
2026-03-21,Southwest Airlines,SO8392,Kuwait City,Cairo,Kuwait,Egypt,Middle East,North Africa,Boeing 737 MAX 8,413,Security risk — conflict zone
2026-03-21,flynas,FL7445,Paris,Doha,France,Qatar,Europe,Middle East,Airbus A320neo,257,Diplomatic advisory — do not fly
2026-03-21,British Airways,BR2961,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Airbus A350-900,433,ATC flow restrictions — congestion
2026-03-21,Lufthansa,LU9822,Mumbai,Kuwait City,India,Kuwait,South Asia,Middle East,Boeing 787-10 Dreamliner,385,Insurance restriction — war zone
2026-03-22,flynas,FL6033,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Airbus A350-900,341,Temporary corridor suspension — safety bulletin
2026-03-22,Turkish Airlines,TU2635,London,Singapore,UK,Singapore,Europe,Asia Pacific,Boeing 787-9 Dreamliner,329,Airspace closure — NOTAM
2026-03-22,Malaysia Airlines,MA768,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Boeing 787-9 Dreamliner,129,Fuel supply disruption
2026-03-22,Swiss International Air Lines,SW5887,Madrid,Dubai,Spain,UAE,Europe,Middle East,Airbus A321neo,121,Airspace closure — NOTAM
2026-03-22,Delta Air Lines,DE6351,Doha,Toronto,Qatar,Canada,Middle East,North America,Boeing 777-200LR,367,Airport closure — military activity
2026-03-22,Kuwait Airways,KU8499,Tehran,Moscow,Iran,Russia,Middle East,Europe,Airbus A320neo,355,Temporary corridor suspension — safety bulletin
2026-03-22,Malaysia Airlines,MA3569,Jakarta,Dubai,Indonesia,UAE,Asia Pacific,Middle East,Airbus A350-900,242,Crew duty-time exceedance after long reroutes
2026-03-22,LOT Polish Airlines,LO8109,Dubai,Casablanca,UAE,Morocco,Middle East,Africa,Boeing 787-9 Dreamliner,270,ATC flow restrictions — congestion
2026-03-22,Gulf Air,GU1779,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Airbus A330-300,160,Diplomatic advisory — do not fly
2026-03-22,Air New Zealand,AI9910,Paris,Doha,France,Qatar,Europe,Middle East,Airbus A330-300,287,Security risk — conflict zone
2026-03-22,Iran Air,IR8501,Dubai,Toronto,UAE,Canada,Middle East,North America,Boeing 737 MAX 8,425,Government travel ban
2026-03-22,Oman Air,OM1614,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Airbus A321neo,103,Government travel ban
2026-03-22,Lufthansa,LU2930,Doha,New York,Qatar,USA,Middle East,North America,Airbus A321neo,95,Diplomatic advisory — do not fly
2026-03-22,Southwest Airlines,SO7628,Madrid,Bogotá,Spain,Colombia,Europe,Latin America,Boeing 787-9 Dreamliner,100,Airspace closure — NOTAM
2026-03-22,Atlas Air,AT6031,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Boeing 787-10 Dreamliner,386,Fuel supply disruption
2026-03-22,Air Arabia,AI2386,London,Johannesburg,UK,South Africa,Europe,Africa,Boeing 777-200LR,114,Crew safety — company policy
2026-03-22,Singapore Airlines,SI2528,Shanghai,Doha,China,Qatar,Asia Pacific,Middle East,Airbus A320neo,338,Crew safety — company policy
2026-03-22,Mahan Air,MA547,Dubai,Vancouver,UAE,Canada,Middle East,North America,Boeing 777-300ER,268,Crew duty-time exceedance after long reroutes
2026-03-22,Korean Air,KO5330,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Boeing 777-300ER,445,Fuel supply disruption
2026-03-22,Turkish Airlines,TU1567,Dubai,London,UAE,UK,Middle East,Europe,Airbus A340-600,334,ATC flow restrictions — congestion
2026-03-22,FedEx Express,FE4946,Ho Chi Minh City,Doha,Vietnam,Qatar,Asia Pacific,Middle East,Boeing 777-200LR,173,Airport closure — military activity
2026-03-22,Oman Air,OM7137,Doha,London,Qatar,UK,Middle East,Europe,Airbus A380-800,181,Crew safety — company policy
2026-03-22,Gulf Air,GU6127,Doha,Paris,Qatar,France,Middle East,Europe,Boeing 777-200LR,114,Fuel supply disruption
2026-03-22,Emirates SkyCargo,EM5215,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Airbus A350-900,176,Fuel supply disruption
2026-03-22,Lufthansa,LU8780,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A340-600,113,Security risk — conflict zone
2026-03-22,Air France,AI8430,Dubai,Nairobi,UAE,Kenya,Middle East,Africa,Boeing 777-300ER,366,Government travel ban
2026-03-22,British Airways,BR4771,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A321neo,313,Fuel supply disruption
2026-03-22,Pakistan International Airlines,PA6183,Doha,Los Angeles,Qatar,USA,Middle East,North America,Airbus A320neo,417,Crew safety — company policy
2026-03-23,Etihad Airways,ET400,Singapore,Sydney,Singapore,Australia,Asia Pacific,Asia Pacific,Airbus A340-600,435,Airport closure — military activity
2026-03-23,SpiceJet,SP921,Lahore,Doha,Pakistan,Qatar,South Asia,Middle East,Boeing 787-9 Dreamliner,372,Crew safety — company policy
2026-03-23,Azul Brazilian Airlines,AZ1754,London,Los Angeles,UK,USA,Europe,North America,Airbus A340-600,312,Diplomatic advisory — do not fly
2026-03-23,Avianca,AV6836,Doha,Ho Chi Minh City,Qatar,Vietnam,Middle East,Asia Pacific,Airbus A321neo,334,Temporary corridor suspension — safety bulletin
2026-03-23,SAS,SA5382,São Paulo,Dubai,Brazil,UAE,Latin America,Middle East,Boeing 777-300ER,417,Diplomatic advisory — do not fly
2026-03-23,Asiana Airlines,AS6262,Casablanca,Paris,Morocco,France,Africa,Europe,Airbus A320neo,404,Temporary corridor suspension — safety bulletin
2026-03-23,Japan Airlines,JA621,Toronto,London,Canada,UK,North America,Europe,Boeing 737 MAX 8,166,Crew safety — company policy
2026-03-23,LATAM Airlines,LA5648,Washington,Abu Dhabi,USA,UAE,North America,Middle East,Boeing 787-10 Dreamliner,226,Crew duty-time exceedance after long reroutes
2026-03-23,China Southern,CH2170,Addis Ababa,London,Ethiopia,UK,Africa,Europe,Boeing 787-9 Dreamliner,343,Crew safety — company policy
2026-03-23,Turkish Airlines,TU5660,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Airbus A330-300,353,Crew duty-time exceedance after long reroutes
2026-03-23,British Airways,BR8290,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Boeing 777-300ER,389,Airspace closure — NOTAM
2026-03-23,DHL Aviation,DH5639,Madrid,Doha,Spain,Qatar,Europe,Middle East,Airbus A350-900,402,Government travel ban
2026-03-23,Kuwait Airways,KU8413,Dubai,Guangzhou,UAE,China,Middle East,Asia Pacific,Airbus A350-900,96,Security risk — conflict zone
2026-03-23,Air Canada,AI1600,Muscat,London,Oman,UK,Middle East,Europe,Airbus A330-300,364,Security risk — conflict zone
2026-03-23,American Airlines,AM6735,Tehran,Moscow,Iran,Russia,Middle East,Europe,Boeing 777-200LR,246,Crew safety — company policy
2026-03-23,Ryanair,RY6129,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A340-600,415,Airspace closure — NOTAM
2026-03-23,United Airlines,UN6029,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Boeing 787-10 Dreamliner,372,Temporary corridor suspension — safety bulletin
2026-03-23,Jazeera Airways,JA4918,London,Singapore,UK,Singapore,Europe,Asia Pacific,Airbus A321neo,377,Crew safety — company policy
2026-03-23,WestJet,WE3960,Dubai,Toronto,UAE,Canada,Middle East,North America,Boeing 777-200LR,181,Temporary corridor suspension — safety bulletin
2026-03-23,Korean Air,KO7873,Abu Dhabi,London,UAE,UK,Middle East,Europe,Airbus A340-600,218,Fuel supply disruption
2026-03-23,Thai Airways,TH5667,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Airbus A320neo,153,Security risk — conflict zone
2026-03-23,Thai Airways,TH2011,Warsaw,Dubai,Poland,UAE,Europe,Middle East,Boeing 777-300ER,334,Airport closure — military activity
2026-03-23,WestJet,WE8552,London,Toronto,UK,Canada,Europe,North America,Boeing 787-10 Dreamliner,130,Diplomatic advisory — do not fly
2026-03-23,Air Canada,AI5886,New York,Doha,USA,Qatar,North America,Middle East,Airbus A340-600,166,Crew duty-time exceedance after long reroutes
2026-03-23,SpiceJet,SP4500,Addis Ababa,Dubai,Ethiopia,UAE,Africa,Middle East,Boeing 787-9 Dreamliner,317,Crew duty-time exceedance after long reroutes
2026-03-23,Singapore Airlines,SI232,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Airbus A321neo,406,Crew duty-time exceedance after long reroutes
2026-03-23,Air Canada,AI2431,Madrid,Bogotá,Spain,Colombia,Europe,Latin America,Boeing 787-9 Dreamliner,354,ATC flow restrictions — congestion
2026-03-23,Mahan Air,MA2743,Casablanca,Paris,Morocco,France,Africa,Europe,Boeing 787-10 Dreamliner,164,Fuel supply disruption
2026-03-23,LOT Polish Airlines,LO1938,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Airbus A320neo,187,ATC flow restrictions — congestion
2026-03-23,LOT Polish Airlines,LO9064,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Airbus A340-600,426,Crew safety — company policy
2026-03-23,Air France,AI962,Warsaw,Dubai,Poland,UAE,Europe,Middle East,Boeing 787-10 Dreamliner,300,Airspace closure — NOTAM
2026-03-23,Ethiopian Airlines,ET3795,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Boeing 787-10 Dreamliner,186,Airport closure — military activity
2026-03-24,KLM,KL818,Kuala Lumpur,Dubai,Malaysia,UAE,Asia Pacific,Middle East,Airbus A380-800,106,Fuel supply disruption
2026-03-24,KLM,KL5639,Singapore,Sydney,Singapore,Australia,Asia Pacific,Asia Pacific,Boeing 737 MAX 8,142,Security risk — conflict zone
2026-03-24,Southwest Airlines,SO1472,Seoul,Dubai,South Korea,UAE,Asia Pacific,Middle East,Airbus A321neo,198,Security risk — conflict zone
2026-03-24,IndiGo,IN2718,Kuala Lumpur,Dubai,Malaysia,UAE,Asia Pacific,Middle East,Boeing 737 MAX 8,443,Fuel supply disruption
2026-03-24,DHL Aviation,DH914,Jakarta,Dubai,Indonesia,UAE,Asia Pacific,Middle East,Airbus A320neo,390,Insurance restriction — war zone
2026-03-24,Kenya Airways,KE3038,Doha,Mumbai,Qatar,India,Middle East,South Asia,Boeing 777-200LR,127,Crew duty-time exceedance after long reroutes
2026-03-24,Copa Airlines,CO5298,Doha,New York,Qatar,USA,Middle East,North America,Airbus A321neo,146,Crew duty-time exceedance after long reroutes
2026-03-24,Kuwait Airways,KU4752,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Airbus A340-600,447,Crew duty-time exceedance after long reroutes
2026-03-24,Cargolux,CA3548,Dubai,Moscow,UAE,Russia,Middle East,Europe,Airbus A340-600,159,Government travel ban
2026-03-24,American Airlines,AM4012,Toronto,Doha,Canada,Qatar,North America,Middle East,Boeing 787-10 Dreamliner,199,Crew duty-time exceedance after long reroutes
2026-03-24,Air China,AI3774,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Boeing 777-300ER,404,Temporary corridor suspension — safety bulletin
2026-03-24,ANA,AN4618,Abu Dhabi,Sydney,UAE,Australia,Middle East,Asia Pacific,Boeing 787-9 Dreamliner,172,Airport closure — military activity
2026-03-25,Japan Airlines,JA883,Paris,Dubai,France,UAE,Europe,Middle East,Boeing 787-9 Dreamliner,208,Diplomatic advisory — do not fly
2026-03-25,Korean Air,KO4114,London,Toronto,UK,Canada,Europe,North America,Airbus A320neo,216,Crew duty-time exceedance after long reroutes
2026-03-25,Lufthansa,LU7537,Guangzhou,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A380-800,321,Airspace closure — NOTAM
2026-03-25,Delta Air Lines,DE6696,Dubai,Santiago,UAE,Chile,Middle East,Latin America,Boeing 777-200LR,81,Airspace closure — NOTAM
2026-03-25,Lufthansa,LU6973,Singapore,Dubai,Singapore,UAE,Asia Pacific,Middle East,Boeing 777-300ER,174,Temporary corridor suspension — safety bulletin
2026-03-25,Azul Brazilian Airlines,AZ6045,Tokyo,London,Japan,UK,Asia Pacific,Europe,Boeing 777-200LR,101,ATC flow restrictions — congestion
2026-03-25,Air France,AI7846,Dubai,Kuala Lumpur,UAE,Malaysia,Middle East,Asia Pacific,Boeing 777-200LR,316,Crew safety — company policy
