date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-03-24,Air China,AI1702,Addis Ababa,Dubai,Ethiopia,UAE,Africa,Middle East,Via Persian Gulf,Via Indian Ocean southern route,5484,8834,3350,21721.03,4.3
2026-03-24,Garuda Indonesia,GA9174,London,Kuala Lumpur,UK,Malaysia,Europe,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,4414,5747,1333,7725.61,2.6
2026-03-24,China Eastern,CH3145,Kuwait City,Mumbai,Kuwait,India,Middle East,South Asia,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5369,6382,1013,6402.92,3.1
2026-03-24,SAS,SA3575,Doha,Paris,Qatar,France,Middle East,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,5837,6836,999,6628.17,4.6
2026-03-24,China Southern,CH2269,London,Abu Dhabi,UK,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,10021,12378,2357,8438.7,0.4
2026-03-24,Azul Brazilian Airlines,AZ7330,Singapore,London,Singapore,UK,Asia Pacific,Europe,Direct Middle East overfly,Via Central Asian detour,10634,12512,1878,12904.67,1.0
2026-03-24,TAP Air Portugal,TA6828,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,6163,6736,573,3407.88,3.6
2026-03-24,Air Algerie,AI8907,London,Mexico City,UK,Mexico,Europe,Latin America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6456,7851,1395,7650.47,0.8
2026-03-24,EgyptAir,EG2837,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,5695,7473,1778,11477.17,1.5
2026-03-24,Malaysia Airlines,MA2723,Santiago,Dubai,Chile,UAE,Latin America,Middle East,Via Persian Gulf,Via Indian Ocean southern route,6207,8458,2251,13686.76,1.9
2026-03-24,Aeromexico,AE4641,Dubai,New York,UAE,USA,Middle East,North America,Via Persian Gulf,Via Indian Ocean southern route,2418,4741,2323,14833.35,2.9
2026-03-24,China Eastern,CH7223,Abu Dhabi,Sydney,UAE,Australia,Middle East,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,9958,11166,1208,5716.65,1.3
2026-03-25,Lufthansa,LU4528,Sydney,Dubai,Australia,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10150,11224,1074,7459.98,5.3
2026-03-25,Emirates SkyCargo,EM5159,New York,Doha,USA,Qatar,North America,Middle East,Direct Middle East overfly,Via Central Asian detour,6994,9284,2290,11209.53,1.1
2026-03-25,IndiGo,IN9795,Moscow,Dubai,Russia,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,3810,6510,2700,16596.05,0.7
2026-03-25,DHL Aviation,DH8628,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,3299,3829,530,3394.25,0.8
2026-03-25,Air India,AI3330,Paris,Beirut,France,Lebanon,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8510,9756,1246,4700.31,4.7
2026-03-25,Pakistan International Airlines,PA4808,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,4804,5661,857,3653.88,1.3
2026-03-25,Air France,AI8926,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,7286,8877,1591,6175.67,4.3
2026-03-25,Gulf Air,GU3193,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,9937,13112,3175,16203.19,3.6
2026-03-25,United Airlines,UN7420,Muscat,London,Oman,UK,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,5699,7483,1784,10648.52,4.8
2026-03-25,FedEx Express,FE6736,Los Angeles,London,USA,UK,North America,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3411,4813,1402,9040.71,0.7
2026-03-25,KLM,KL6277,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,4021,5199,1178,5508.5,5.5
2026-03-25,Cargolux,CA2297,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,10794,11647,853,5510.22,0.7
2026-03-25,easyJet,EA4832,Dubai,Delhi,UAE,India,Middle East,South Asia,Via Persian Gulf,Via Indian Ocean southern route,8408,10906,2498,11854.38,4.8
2026-03-25,WestJet,WE3922,Toronto,Doha,Canada,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11534,13091,1557,7873.96,2.2
2026-03-25,WestJet,WE4531,Doha,Paris,Qatar,France,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,2724,4646,1922,10514.27,4.7
2026-03-25,Gulf Air,GU5483,Dubai,Moscow,UAE,Russia,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7539,8930,1391,9078.33,1.3
2026-03-25,British Airways,BR9358,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Via Persian Gulf,Via Indian Ocean southern route,9118,12119,3001,13114.54,1.1
2026-03-26,UPS Airlines,UP7311,Madrid,Mexico City,Spain,Mexico,Europe,Latin America,Direct Middle East overfly,Via Central Asian detour,11723,13452,1729,6510.73,2.6
2026-03-26,Swiss International Air Lines,SW2479,Beijing,Frankfurt,China,Germany,Asia Pacific,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,9174,10314,1140,4534.83,1.3
2026-03-26,Turkish Airlines,TU4607,Sydney,Abu Dhabi,Australia,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8893,10306,1413,5981.1,4.7
2026-03-26,Copa Airlines,CO3152,Chicago,Dubai,USA,UAE,North America,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,3415,4187,772,3476.49,5.1
2026-03-26,LOT Polish Airlines,LO933,Muscat,London,Oman,UK,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,3375,5012,1637,8172.2,3.0
2026-03-26,LATAM Airlines,LA6324,Riyadh,Islamabad,Saudi Arabia,Pakistan,Middle East,South Asia,Via Strait of Hormuz,Via Red Sea–Suez route,2602,3949,1347,6803.24,1.2
2026-03-26,Saudi Arabian Airlines,SA7486,London,Dubai,UK,UAE,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,3279,4595,1316,7700.63,3.8
2026-03-26,EgyptAir,EG5772,London,Kuwait City,UK,Kuwait,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,4774,5683,909,5629.94,4.9
2026-03-26,DHL Aviation,DH8396,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Direct Middle East overfly,Via Central Asian detour,9974,11858,1884,9299.23,4.3
2026-03-26,Thai Airways,TH2041,Dubai,London,UAE,UK,Middle East,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,8844,9747,903,4096.64,4.9
2026-03-27,Gulf Air,GU1668,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,9323,10603,1280,8658.97,1.6
2026-03-27,Etihad Airways,ET1226,Paris,Doha,France,Qatar,Europe,Middle East,Direct Middle East overfly,Via Central Asian detour,11904,13279,1375,8838.25,0.7
2026-03-27,KLM,KL9198,Paris,Doha,France,Qatar,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,2112,2688,576,3882.82,5.1
2026-03-27,Atlas Air,AT7461,Bogotá,Madrid,Colombia,Spain,Latin America,Europe,Direct Middle East overfly,Via Central Asian detour,10579,12360,1781,12205.7,0.6
2026-03-27,Asiana Airlines,AS9681,Tokyo,London,Japan,UK,Asia Pacific,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,10928,12753,1825,8608.78,3.6
2026-03-27,Vietnam Airlines,VI2638,Paris,Doha,France,Qatar,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4205,6840,2635,16716.35,3.2
2026-03-27,Air France,AI4380,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5651,7085,1434,8289.63,2.2
2026-03-27,China Eastern,CH3711,Bogotá,Madrid,Colombia,Spain,Latin America,Europe,Direct Middle East overfly,Via Central Asian detour,10053,11088,1035,3822.86,5.7
2026-03-27,Kuwait Airways,KU4243,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,9133,10582,1449,7264.77,5.0
2026-03-27,Ethiopian Airlines,ET6284,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,10563,12233,1670,10969.42,2.3
2026-03-27,Aeroflot,AE5752,Dubai,Mumbai,UAE,India,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,11705,12328,623,3537.88,1.1
2026-03-27,Ethiopian Airlines,ET2677,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,2905,3994,1089,3931.79,5.8
2026-03-27,Cathay Pacific,CA9867,Mexico City,London,Mexico,UK,Latin America,Europe,Direct Middle East overfly,Via Central Asian detour,10352,11399,1047,4699.32,3.1
2026-03-27,Gulf Air,GU4632,Doha,Ho Chi Minh City,Qatar,Vietnam,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,9440,10930,1490,9909.3,3.3
2026-03-28,Aeroflot,AE7124,Dubai,Kuala Lumpur,UAE,Malaysia,Middle East,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,4644,5810,1166,4281.54,2.1
2026-03-28,KLM,KL3833,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Via Persian Gulf,Via Indian Ocean southern route,10720,13684,2964,15700.14,3.5
2026-03-28,easyJet,EA4965,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,10505,12473,1968,10631.51,5.9
2026-03-28,American Airlines,AM6204,Bogotá,Madrid,Colombia,Spain,Latin America,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,2852,3545,693,2892.9,0.8
2026-03-28,EgyptAir,EG1681,London,Abu Dhabi,UK,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,4329,6170,1841,10820.72,2.9
2026-03-28,Jazeera Airways,JA7162,Auckland,Dubai,New Zealand,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7036,8287,1251,7062.69,1.2
2026-03-28,ANA,AN2842,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,8264,9572,1308,8409.81,5.1
2026-03-28,Iberia,IB9581,Lahore,Doha,Pakistan,Qatar,South Asia,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,6749,7440,691,3835.55,2.7
2026-03-28,Air France,AI8315,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,7563,8145,582,2772.55,1.5
2026-03-28,Aeromexico,AE1733,Moscow,Tehran,Russia,Iran,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3904,5609,1705,9811.93,5.1
2026-03-28,LOT Polish Airlines,LO9840,London,Sydney,UK,Australia,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,3340,4942,1602,6007.68,1.1
2026-03-28,Etihad Airways,ET4008,Doha,Lahore,Qatar,Pakistan,Middle East,South Asia,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6574,7976,1402,8275.8,3.1
2026-03-28,Qantas,QA5943,Los Angeles,Singapore,USA,Singapore,North America,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,10703,11544,841,4651.77,3.6
2026-03-28,Jazeera Airways,JA8140,Dubai,Cairo,UAE,Egypt,Middle East,North Africa,Direct Middle East overfly,Via Central Asian detour,2296,3656,1360,7905.92,2.5
2026-03-28,Garuda Indonesia,GA1499,Los Angeles,London,USA,UK,North America,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,11304,12173,869,4014.92,4.3
2026-03-28,Qatar Airways,QA4729,London,Kuwait City,UK,Kuwait,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,2632,3758,1126,6874.5,2.4
2026-03-28,Ethiopian Airlines,ET5662,Beirut,Paris,Lebanon,France,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,8331,9641,1310,8977.5,2.0
2026-03-29,Air Arabia,AI5578,Paris,Shanghai,France,China,Europe,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8054,10185,2131,12258.56,5.4
2026-03-29,Royal Air Maroc,RO233,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,2011,3078,1067,4049.68,2.7
2026-03-29,Vietnam Airlines,VI6675,Paris,Dubai,France,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,8132,8652,520,3272.58,2.6
2026-03-29,China Eastern,CH566,Dubai,New York,UAE,USA,Middle East,North America,Via Strait of Hormuz,Via Red Sea–Suez route,10728,12441,1713,9325.13,2.2
2026-03-29,Singapore Airlines,SI8819,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Direct Gulf route,Via Jordan–Egypt alternate,8770,9303,533,2094.57,4.2
2026-03-29,DHL Aviation,DH3823,Singapore,Tokyo,Singapore,Japan,Asia Pacific,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,6740,7247,507,3133.66,3.4
2026-03-29,FedEx Express,FE8668,Dubai,Vancouver,UAE,Canada,Middle East,North America,Via Strait of Hormuz,Via Red Sea–Suez route,4294,5831,1537,6233.12,6.0
2026-03-29,Asiana Airlines,AS3871,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,6459,7955,1496,7164.66,3.1
2026-03-29,Air Canada,AI9765,Tokyo,London,Japan,UK,Asia Pacific,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,10475,12116,1641,7331.54,3.8
2026-03-29,Avianca,AV9678,London,Bahrain,UK,Bahrain,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,8183,9246,1063,6297.17,3.5
2026-03-29,Southwest Airlines,SO5895,Vancouver,Dubai,Canada,UAE,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9438,10904,1466,7252.28,3.5
2026-03-29,Finnair,FI8366,Seoul,Dubai,South Korea,UAE,Asia Pacific,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,5940,6542,602,2777.35,5.1
2026-03-29,British Airways,BR561,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,9499,9917,418,2013.93,5.6
2026-03-29,Cargolux,CA8125,Singapore,Dubai,Singapore,UAE,Asia Pacific,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,3204,3639,435,1833.07,5.8
2026-03-29,Copa Airlines,CO6319,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9061,10008,947,5619.54,1.2
2026-03-29,Malaysia Airlines,MA7241,London,Muscat,UK,Oman,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3065,4623,1558,9869.53,2.0
2026-03-29,Aeromexico,AE9522,Doha,Mumbai,Qatar,India,Middle East,South Asia,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3223,4240,1017,5814.01,0.8
2026-03-30,Etihad Airways,ET4544,Tokyo,London,Japan,UK,Asia Pacific,Europe,Direct Middle East overfly,Via Central Asian detour,9998,11344,1346,8446.38,4.7
2026-03-30,Etihad Airways,ET3888,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Via Persian Gulf,Via Indian Ocean southern route,3798,5627,1829,7305.56,0.6
2026-03-30,WestJet,WE4547,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6913,9215,2302,14894.75,4.3
2026-03-30,Aeroflot,AE918,Abu Dhabi,London,UAE,UK,Middle East,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,5324,5964,640,3866.88,0.7
2026-03-30,flydubai,FL7824,Frankfurt,Beijing,Germany,China,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,10638,11335,697,3032.24,0.9
2026-03-30,WestJet,WE5921,Dubai,Mumbai,UAE,India,Middle East,South Asia,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9164,10146,982,3643.55,1.5
2026-03-30,Emirates SkyCargo,EM5286,Dubai,Delhi,UAE,India,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,4860,5866,1006,3979.22,5.9
2026-03-30,Air Arabia,AI1624,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Direct Tehran overfly,Via Ashgabat–Almaty route,11525,12307,782,4569.92,2.9
2026-03-30,Ethiopian Airlines,ET7031,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,5356,6353,997,5393.76,1.2
2026-03-30,Emirates,EM2300,London,Seoul,UK,South Korea,Europe,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,9668,10254,586,2226.55,2.3
2026-03-30,Emirates,EM8130,Mumbai,Dubai,India,UAE,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,6916,8379,1463,10004.54,4.2
2026-03-30,Pakistan International Airlines,PA1536,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,2401,3198,797,4567.58,0.6
2026-03-30,FedEx Express,FE2687,Doha,London,Qatar,UK,Middle East,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,5034,6775,1741,8880.73,1.6
2026-03-30,EgyptAir,EG903,Washington,Abu Dhabi,USA,UAE,North America,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11721,13667,1946,9893.51,0.6
2026-03-30,Cargolux,CA520,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,11708,12230,522,2808.88,1.0
2026-03-30,Iran Air,IR9376,London,Dubai,UK,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2432,3874,1442,6061.9,1.9
2026-03-31,easyJet,EA3476,Doha,Chicago,Qatar,USA,Middle East,North America,Via Persian Gulf,Via Indian Ocean southern route,4033,7456,3423,20668.11,4.2
2026-03-31,Atlas Air,AT3711,Chicago,Dubai,USA,UAE,North America,Middle East,Direct Middle East overfly,Via Central Asian detour,3742,4751,1009,5304.28,1.0
2026-03-31,China Southern,CH920,Madrid,Mexico City,Spain,Mexico,Europe,Latin America,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2829,3986,1157,6397.0,1.0
2026-03-31,Atlas Air,AT7130,London,Beijing,UK,China,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,4449,5765,1316,6101.47,4.3
2026-03-31,Qatar Airways,QA1440,Dubai,Mumbai,UAE,India,Middle East,South Asia,Via Baghdad FIR,Via Ankara–Baku corridor,6678,8124,1446,8347.31,4.5
2026-03-31,Wizz Air,WI873,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Via Strait of Hormuz,Via Red Sea–Suez route,3264,4669,1405,8479.83,5.6
2026-03-31,Aeromexico,AE7613,Dubai,Delhi,UAE,India,Middle East,South Asia,Via Strait of Hormuz,Via Red Sea–Suez route,11327,12162,835,3984.83,5.2
2026-03-31,TAP Air Portugal,TA996,Dubai,Zurich,UAE,Switzerland,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,5184,6173,989,4142.11,1.8
2026-03-31,Air Canada,AI2963,Mumbai,Doha,India,Qatar,South Asia,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8231,10340,2109,9756.89,4.0
2026-03-31,Qantas,QA6306,Vancouver,Dubai,Canada,UAE,North America,Middle East,Via Persian Gulf,Via Indian Ocean southern route,11506,13566,2060,8518.15,1.3
2026-03-31,Delta Air Lines,DE2528,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,11890,12992,1102,5931.46,0.7
2026-03-31,Delta Air Lines,DE9013,Doha,Paris,Qatar,France,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,3204,4890,1686,11665.51,0.8
2026-03-31,Vietnam Airlines,VI6759,Beirut,Paris,Lebanon,France,Middle East,Europe,Via Persian Gulf,Via Indian Ocean southern route,2274,3580,1306,6399.89,4.1
2026-03-31,Aeroflot,AE2883,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,7401,8439,1038,4419.66,3.6
2026-03-31,Jazeera Airways,JA5784,London,Los Angeles,UK,USA,Europe,North America,Via Persian Gulf,Via Indian Ocean southern route,6835,8744,1909,9116.52,0.4
2026-03-31,WestJet,WE6545,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Via Persian Gulf,Via Indian Ocean southern route,2586,5236,2650,15330.97,1.8
2026-03-31,Air India,AI9600,Dubai,Kuala Lumpur,UAE,Malaysia,Middle East,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,2619,3348,729,4849.2,4.3
2026-03-31,Kuwait Airways,KU8627,London,Abu Dhabi,UK,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,4010,4994,984,6674.43,3.5
2026-04-01,Copa Airlines,CO3184,Mexico City,London,Mexico,UK,Latin America,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6207,7899,1692,9593.24,5.1
2026-04-01,Korean Air,KO8951,São Paulo,Dubai,Brazil,UAE,Latin America,Middle East,Direct Middle East overfly,Via Central Asian detour,3936,6368,2432,10170.81,3.4
2026-04-01,Lufthansa,LU9266,Stockholm,Dubai,Sweden,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9476,11907,2431,16199.6,2.6
2026-04-01,Royal Air Maroc,RO9892,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,10363,11442,1079,6867.94,4.1
2026-04-01,United Airlines,UN4720,London,Tokyo,UK,Japan,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,7311,8573,1262,8092.84,3.0
2026-04-01,Gulf Air,GU6214,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Via Persian Gulf,Via Indian Ocean southern route,11625,13313,1688,8177.66,5.0
2026-04-01,China Eastern,CH9794,Islamabad,Riyadh,Pakistan,Saudi Arabia,South Asia,Middle East,Via Persian Gulf,Via Indian Ocean southern route,6630,8029,1399,6580.34,3.6
2026-04-01,KLM,KL5614,Riyadh,Islamabad,Saudi Arabia,Pakistan,Middle East,South Asia,Direct Middle East overfly,Via Central Asian detour,2207,3525,1318,8873.78,3.2
2026-04-01,Finnair,FI1133,London,Tokyo,UK,Japan,Europe,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9477,10908,1431,9456.12,5.3
2026-04-01,Saudi Arabian Airlines,SA9960,New York,Doha,USA,Qatar,North America,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,7727,9499,1772,8267.1,5.5
2026-04-01,SAS,SA8437,Dubai,Bangkok,UAE,Thailand,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,5949,7576,1627,8485.76,1.0
2026-04-01,SAS,SA392,Sydney,Singapore,Australia,Singapore,Asia Pacific,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4807,7394,2587,15049.57,5.1
2026-04-01,British Airways,BR4667,Nairobi,London,Kenya,UK,Africa,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,12000,13057,1057,6555.37,5.4
2026-04-01,Garuda Indonesia,GA7771,Santiago,London,Chile,UK,Latin America,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5992,6877,885,5857.96,0.4
2026-04-01,Azul Brazilian Airlines,AZ2771,Paris,Doha,France,Qatar,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,5700,8142,2442,13397.77,1.1
2026-04-01,Ethiopian Airlines,ET5804,Paris,Dubai,France,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,4939,5666,727,4541.74,4.7
2026-04-01,Qantas,QA8292,Toronto,Dubai,Canada,UAE,North America,Middle East,Direct Middle East overfly,Via Central Asian detour,5323,6491,1168,6660.05,3.9
2026-04-01,Air New Zealand,AI6029,New York,Doha,USA,Qatar,North America,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,6597,7899,1302,8880.51,0.9
2026-04-01,Air China,AI7697,London,Muscat,UK,Oman,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10116,12238,2122,13012.0,2.8
2026-04-01,Air France,AI9082,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,7043,9352,2309,15576.22,5.7
2026-04-02,Kuwait Airways,KU7976,Doha,Los Angeles,Qatar,USA,Middle East,North America,Via Baghdad FIR,Via Ankara–Baku corridor,6137,6680,543,2718.51,3.3
2026-04-02,Vietnam Airlines,VI5974,London,Beijing,UK,China,Europe,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,11562,12672,1110,5194.9,1.9
2026-04-02,British Airways,BR2815,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5386,6787,1401,7867.08,2.9
2026-04-02,Korean Air,KO6780,Santiago,London,Chile,UK,Latin America,Europe,Via Persian Gulf,Via Indian Ocean southern route,10054,12841,2787,14382.12,2.7
2026-04-02,United Airlines,UN1504,London,Sydney,UK,Australia,Europe,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,6256,8436,2180,9911.35,3.5
2026-04-02,flynas,FL8729,Singapore,London,Singapore,UK,Asia Pacific,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8327,10300,1973,12249.71,2.0
2026-04-02,Japan Airlines,JA1233,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10695,11783,1088,5343.44,4.6
2026-04-02,LOT Polish Airlines,LO8269,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10221,11550,1329,4948.63,4.7
2026-04-02,Qatar Airways,QA5525,Beijing,Frankfurt,China,Germany,Asia Pacific,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5491,6957,1466,10242.34,1.9
2026-04-02,Saudi Arabian Airlines,SA5201,Los Angeles,Doha,USA,Qatar,North America,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,5489,6887,1398,5832.56,0.9
2026-04-02,flydubai,FL8329,Auckland,Dubai,New Zealand,UAE,Asia Pacific,Middle East,Via Persian Gulf,Via Indian Ocean southern route,9058,10765,1707,8704.86,3.2
2026-04-02,Cargolux,CA4784,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Direct Gulf route,Via Jordan–Egypt alternate,3118,4091,973,4356.45,1.3
